contact_id,customer_id,email,first_name,last_name,city,state,create_date,lifecycle_stage,lead_source,num_orders,total_revenue,first_order_date,last_activity_date
HS_000001,861eff4711a542e4b93843c6dd7febb0,ana.silva515@example.com,Ana,Silva,franca,SP,2024-11-13,customer,direct,1,146.87,2024-11-28,2024-11-28
HS_000002,290c77bc529b7ac935b93aa66c333dc3,vitor.rodrigues861@example.com,Vitor,Rodrigues,sao bernardo do campo,SP,2025-07-27,customer,paid_search,1,335.48,2025-07-27,2025-07-27
HS_000003,060e732b5b29e8181a18229c7b0b2b5e,elena.almeida467@example.com,Elena,Almeida,sao paulo,SP,2025-11-10,customer,organic_search,1,157.73,2025-12-01,2025-12-01
HS_000004,259dac757896d24d7702b9acbbff3f3c,karen.pereira893@example.com,Karen,Pereira,mogi das cruzes,SP,2025-08-29,customer,organic_search,1,173.3,2025-09-25,2025-09-25
HS_000005,345ecd01c38d18a9036ed96c73b8d066,raquel.oliveira634@example.com,Raquel,Oliveira,campinas,SP,2026-01-19,customer,paid_search,1,252.25,2026-02-10,2026-02-10
HS_000006,4c93744516667ad3b8f1fb645a3116a4,karen.nascimento370@example.com,Karen,Nascimento,jaragua do sul,SC,2025-03-10,customer,paid_social,1,282.21,2025-03-29,2025-03-29
HS_000007,addec96d2e059c80c30fe6871d30d177,henrique.silva65@example.com,Henrique,Silva,sao paulo,SP,2025-08-25,customer,paid_search,1,22.77,2025-09-03,2025-09-03
HS_000008,57b2a98a409812fe9618067b6b8ebe4f,joao.almeida244@example.com,Joao,Almeida,timoteo,MG,2025-05-21,customer,organic_search,1,36.01,2025-05-31,2025-05-31
HS_000009,1175e95fb47ddff9de6b2b06188f7e0d,maria.souza494@example.com,Maria,Souza,curitiba,PR,2025-07-16,customer,direct,1,39.1,2025-08-02,2025-08-02
HS_000010,9afe194fb833f79e300e37e580171f22,lucas.silva892@example.com,Lucas,Silva,belo horizonte,MG,2025-07-02,customer,organic_search,1,122.47,2025-07-23,2025-07-23
HS_000011,2a7745e1ed516b289ed9b29c7d0539a5,sergio.almeida667@example.com,Sergio,Almeida,montes claros,MG,2025-05-18,customer,direct,1,40.4,2025-06-11,2025-06-11
HS_000012,2a46fb94aef5cbeeb850418118cee090,henrique.souza533@example.com,Henrique,Souza,rio de janeiro,RJ,2025-08-03,customer,paid_search,1,153.13,2025-08-22,2025-08-22
HS_000013,918dc87cd72cd9f6ed4bd442ed785235,isabela.costa258@example.com,Isabela,Costa,lencois paulista,SP,2025-03-18,customer,direct,1,117.31,2025-03-24,2025-03-24
HS_000014,295c05e81917928d76245e842748184d,isabela.pereira274@example.com,Isabela,Pereira,sao paulo,SP,2025-09-03,customer,paid_search,1,36.39,2025-09-19,2025-09-19
HS_000015,3151a81801c8386361b62277d7fa5ecf,vitor.santos409@example.com,Vitor,Santos,caxias do sul,RS,2025-10-10,customer,organic_search,1,102.47,2025-10-14,2025-10-14
HS_000016,21f748a16f4e1688a9014eb3ee6fa325,nelson.silva947@example.com,Nelson,Silva,piracicaba,SP,2025-07-19,customer,email,1,169.23,2025-08-13,2025-08-13
HS_000017,5c2991dbd08bbf3cf410713c4de5a0b5,maria.oliveira983@example.com,Maria,Oliveira,rio de janeiro,RJ,2026-02-02,customer,organic_search,1,136.93,2026-02-25,2026-02-25
HS_000018,b6e99561fe6f34a55b0b7da92f8ed775,olivia.silva655@example.com,Olivia,Silva,guarulhos,SP,2025-12-16,customer,paid_search,1,16.53,2025-12-31,2025-12-31
HS_000019,7f3a72e8f988c6e735ba118d54f47458,gabriela.nascimento184@example.com,Gabriela,Nascimento,sao paulo,SP,2024-10-28,customer,organic_search,1,102.03,2024-11-23,2024-11-23
HS_000020,3e6fd6b2f0d499456a6a6820a40f2d79,elena.souza813@example.com,Elena,Souza,pacaja,PA,2025-04-30,customer,email,1,54.62,2025-05-16,2025-05-16
HS_000021,e607ede0e63436308660236f5a52da5e,sergio.silva358@example.com,Sergio,Silva,florianopolis,SC,2025-01-31,customer,paid_social,1,123.0,2025-02-25,2025-02-25
HS_000022,a96d5cfa0d3181817e2b946f921ea021,ana.almeida400@example.com,Ana,Almeida,aparecida de goiania,GO,2025-04-27,customer,paid_social,1,232.71,2025-04-29,2025-04-29
HS_000023,482441ea6a06b1f72fe9784756c0ea75,maria.lima182@example.com,Maria,Lima,sao paulo,SP,2025-11-18,customer,organic_search,1,163.13,2025-11-20,2025-11-20
